cow_id,site_label,ebu_royal,region,district,city,remote_and_metropolitan,location,latitude,longitude,site_status,last_deploying_date,1st_deploying_date,vendor,2g_3g_lte_5g,shelter_outdoor
CWH038,VIP,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Airport Sharma,27.92164,35.288150,ON-AIR,26-Dec-19,28-Sep-16,Huawei,2G/LTE/5G,Shelter
COW822,Normal,NON EBU,Central,Riyadh City,Riyadh City,Metropolitan,Al-Haeer Road,24.41521,46.8424,ON-AIR,1-Jan-20,1-Jan-20,Ericsson,2G/LTE/5G,Outdoor
CWH046,VIP,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Nesma Accommodation,28.0163,35.193320,ON-AIR,17-Jul-18,12-Jan-17,Huawei,2G/LTE,Shelter
,,,,,,,,,,,,,,,
CWN013,VIP,EBU,WEST,MAKKAH,MAKKAH,Remote,EWAA Compound (Shamesi Jail Makkah),21.342206,39.568845,ON-AIR,22-Oct-20,22-Oct-20,Nokia,2G/LTE/5G,Outdoor
COWJN1,Normal,EBU,EAST,NORTHERN BORDER,Rafah,Remote,Rafah Military Camp,29.003612,44.722982,ON-AIR,2-Mar-17,10-Jan-20,Huawei,2G/LTE,Shelter
CWN041,VIP,EBU,SOUTH,Asir,Khamis,Metropolitan,King Khaled Air Defense Khamis,18.277897,42.797088,ON-AIR,11-May-15,11-Aug-14,Nokia,2G/LTE,Shelter
CWA004,Normal,NON EBU,EAST,NORTHERN BORDER,Al-Jouf,Remote,Skaka Housing Area,29.9765,40.169560,ON-AIR,7-Jul-20,1-Apr-13,Huawei,2G/LTE,Shelter
CWN046,VIP,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Project Gayal Area,28.11425,35.001060,ON-AIR,24-Nov-18,25-Jan-15,Huawei,2G/LTE,Shelter
CWH003,Normal,EBU,SOUTH,Najran,Najran,Remote,Military Camp Sharurah,17.40391,47.163520,ON-AIR,4-Nov-15,4-Nov-15,Huawei,2G/LTE,Shelter
CWH004,Normal,EBU,EAST,JUBAIL,JUBAIL,Remote,As Summan Near Quraya Olayah Prince Farm,27.11578,47.368910,ON-AIR,1-Dec-15,27-Dec-14,Huawei,2G/LTE,Shelter
CWH012,Normal,EBU,EAST,Al-AHSA,Hofuf,Remote,AL HASA -Aramco,24.96059,49.439820,ON-AIR,28-Jul-15,28-Dec-14,Huawei,2G/LTE,Shelter
CWH015,Normal,EBU,SOUTH,Asir,Dahran Aljanob,Remote,Military Camp Dahran Al-Janub,17.65085,43.462020,ON-AIR,14-Mar-20,24-Feb-15,Huawei,2G/LTE,Shelter
CWN081,VIP,EBU,WEST,MAKKAH,MAKKAH,Remote,Makkah Remote,20.99354,39.588150,ON-AIR,28-Jul-17,25-Jul-15,Nokia,2G/LTE,Shelter
CWH018,Normal,EBU,SOUTH,Najran,Sharura,Metropolitan,ميدان نادي الهجن بشرورة,17.378909,47.052158,ON-AIR,2-May-15,25-Feb-15,Huawei,2G/LTE,Shelter
CWH026,Normal,EBU,SOUTH,Najran,Najran,Remote,Army Camp,17.465332,44.205111,ON-AIR,22-Sep-19,12-Sep-15,Huawei,2G/LTE,Shelter
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CWH044,Normal,EBU,SOUTH,JIZAN,Jizan,Remote,Military Camp Jizan,17.0358,42.960700,ON-AIR,21-Sep-17,21-Jan-17,Huawei,2G/LTE,Shelter
CWH045,Normal,EBU,EAST,NORTHERN BORDER,ARAR,Remote,35KM Arar Rafah HW /Military Camp,30.88407,41.203390,ON-AIR,18-Jan-17,18-Jan-17,Huawei,2G/LTE,Shelter
CWH047,Normal,EBU,SOUTH,Najran,Najran,Remote,Military Camp Location,17.54492,43.980660,ON-AIR,4-Feb-20,15-Feb-17,Huawei,2G/LTE,Shelter
CWH048,Normal,EBU,WEST,TABUK,Tabuk,Metropolitan,Tabuk City,28.350223,36.381380,ON-AIR,15-Jun-17,7-Jan-17,Huawei,2G/LTE,Shelter
CWH316,Normal,NON EBU,EAST,JUBAIL,JUBAIL,Remote,Hay Al Telal - Hafer Al Baten,28.4367,45.919040,ON-AIR,7-May-20,2-Dec-13,Huawei,2G/LTE,Shelter
CWH338,Normal,EBU,WEST,TABUK,Sherma,Metropolitan,NEOM Trojena CoW 4 - Lake Area,28.67835,35.322380,ON-AIR,18-Aug-24,18-Aug-24,Huawei,2G/LTE,Shelter
CWH339,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Gulf of Aqaba-1,29.028364,35.029919,ON-AIR,14-Jul-24,14-Jul-24,Huawei,2G/LTE,Shelter
CWH340,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Gulf of Aqaba-2,28.994833,34.994242,ON-AIR,18-Jul-24,18-Jul-24,Huawei,2G/LTE,Shelter
CWH341,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Gulf of Aqaba-3,28.38558,34.920865,ON-AIR,14-Jul-24,14-Jul-24,Huawei,2G/LTE,Shelter
CWH344,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM  Oxagon -Sothern Corridor,27.47192,35.642460,ON-AIR,14-Jul-24,14-Jul-24,Huawei,2G/LTE,Shelter
CWH345,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM  LINE-Viewing Area,28.129674,34.977988,ON-AIR,18-Aug-24,18-Aug-24,Huawei,2G/LTE/5G,Shelter
CWH347,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Camp NC-1,28.102491,35.118754,ON-AIR,23-Jul-24,23-Jul-24,Huawei,2G/LTE/5G,Shelter
CWH348,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM Camp NRC-13 2nd COW,28.188473,35.107314,ON-AIR,18-Jul-24,18-Jul-24,Huawei,2G/LTE,Shelter
CWH349,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM West arrival road,28.131223,36.004256,ON-AIR,18-Jul-24,18-Jul-24,Huawei,2G/LTE,Shelter
,,,,,,,,,,,,,,,
CWH354,Normal,EBU,WEST,TABUK,NEOM,Remote, ENOWA Oxagon South Corridor,27.487426,35.671524,ON-AIR,18-Nov-24,18-Nov-24,Huawei,2G/LTE,Shelter
CWH357,Normal,EBU,WEST,TABUK,NEOM,Remote,BEACH GAMES 3,28.761137,35.448557,ON-AIR,7-Dec-24,7-Dec-24,Huawei,2G/LTE,Shelter
CWH360,Normal,EBU,WEST,TABUK,NEOM,Remote,Nature reserve CoW,28.709574,35.48078,ON-AIR,,,Huawei,2G/LTE,Shelter
CWH361,Normal,EBU,WEST,TABUK,NEOM,Remote,NC-1 HD offices,28.736674,35.388219,ON-AIR,,,Huawei,2G/LTE,Shelter
CWH362,Normal,EBU,WEST,TABUK,NEOM,Remote,Tabuk Fishery,27.784722,35.420003,ON-AIR,5-Nov-24,5-Nov-24,Huawei,2G/LTE,Shelter
CWN001,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Arafat Police Station (Special Forces Compound),21.33712,39.957790,ON-AIR,15-Feb-20,15-Feb-20,Nokia,2G/LTE/5G,Outdoor
CWN002,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Mina Jamarath,21.42045,39.871420,ON-AIR,5-Sep-16,4-May-16,Nokia,2G/LTE/5G,Shelter
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CWN026,Normal,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,Replacing ZMKA830,21.41169,39.828520,ON-AIR,30-Oct-20,31-Oct-20,Nokia,2G/LTE/5G,Outdoor
CWN032,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Hada Road MOI Muzdalifa,21.35995,39.912277,ON-AIR,12-Mar-20,12-Mar-20,Nokia,2G/LTE/5G,Outdoor
CWN033,Normal,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,Sultan Road(NEW SHARAYA ROAD),21.446924,39.923982,ON-AIR,15-Jan-20,15-Jan-20,Nokia,2G/LTE/5G,Outdoor
CWN036,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Bus Parking Coverage Purpose Arafat,21.380049,39.944192,ON-AIR,18-Jun-19,8-Dec-14,Nokia,2G/LTE/5G,Shelter
CWN711,Normal,EBU,WEST,MADINAH,Al Ula,Metropolitan,RCU Sharaan Nature Reserve Al Ula,26.86254,38.306960,ON-AIR,22-Oct-24,22-Oct-24,Nokia,2G/LTE/5G,Shelter
CWN040,Normal,EBU,WEST,TABUK,Sharma,Metropolitan,NEOM  Nesma Accommodation Area,28.009994,35.190820,ON-AIR,22-Mar-18,18-Nov-14,Huawei,2G/LTE,Shelter
CWN916,Normal,EBU,WEST,MADINAH,Al Ula,Remote,Al Ula Sahary Resort,26.6653,38.003100,ON-AIR,31-Dec-20,20-May-18,Nokia,2G/LTE,Shelter
CWN918,VIP,EBU,SOUTH,JIZAN,Samtah,Remote,Military CAMP SAMTA,16.64758,42.920125,ON-AIR,23-Jan-16,1-Apr-13,Huawei,2G/LTE,Shelter
CWN962,VIP,NON EBU,WEST,MAKKAH,Haram ,Metropolitan,Near Hijla medical centre Makkah,21.411579,39.821467,ON-AIR,5-Jul-15,1-Apr-13,Nokia,2G/LTE/5G,Outdoor
CWN050,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Arafat,21.385366,40.005054,ON-AIR,30-Jul-17,2-Feb-15,Nokia,2G/LTE/5G,Shelter
,,,,,,,,,,,,,,,
CWN054,Normal,EBU,SOUTH,JIZAN,Samtah,Remote,Military camp SAMTA Jizan,16.49797,42.850050,ON-AIR,11-May-15,18-Oct-14,Huawei,2G/LTE,Shelter
CWN055,Normal,EBU,SOUTH,JIZAN,Jizan,Remote,Military Camp Jizan,16.782775,43.080047,ON-AIR,18-Feb-20,5-Sep-14,Huawei,2G/LTE,Shelter
CWN065,Normal,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,Umm Al Qura University  Makkha,21.44125,39.806439,ON-AIR,7-Nov-20,2-Sep-15,Nokia,2G/LTE,Shelter
,,,,,,,,,,,,,,,
CWN998,VIP,EBU,WEST,TAIF,Taif,Metropolitan,Bahitah Check Point,21.647214,40.389186,ON-AIR,1-Sep-19,16-Jul-19,Nokia,2G/LTE/5G,Outdoor
CWN079,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Muzdalifah Outside MOI,21.36149,39.917990,ON-AIR,31-May-19,14-Jul-15,Nokia,2G/LTE/5G,Shelter
CWN999,VIP,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,Awali Road signal Mashayre Road,21.36449,39.884630,ON-AIR,16-Jan-20,16-Jan-20,Nokia,2G/LTE/5G,Outdoor
CWN085,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Arafat,21.366936,39.964243,ON-AIR,24-Jul-16,6-Sep-15,Nokia,2G/LTE/5G,Shelter
CWN086,Normal,NON EBU,WEST,MAKKAH,MAKKAH,Metropolitan,Near Haram Makkah,21.41579,39.785380,ON-AIR,18-May-19,25-Jul-15,Nokia,2G/LTE/5G,Shelter
CWS811,Normal,NON EBU,WEST,MADINAH,Al Ula,Remote,Al-Ula City,26.545376,37.953056,ON-AIR,12-Dec-20,22-Jun-16,Nokia,2G/LTE/5G,Shelter
CWN093,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Arafat,21.35665,39.935350,ON-AIR,11-Jun-17,6-Aug-16,Nokia,2G/LTE/5G,Shelter
COW780,VVIP,EBU,WEST,JEDDAH,JEDDAH,Metropolitan,MOI Dahban,21.88038,39.115990,ON-AIR,28-Apr-18,26-Dec-17,Ericsson,2G/LTE,Outdoor
CWH017,Normal,EBU,SOUTH,Najran,Najran,Remote,Military Base camp Al sharfha2,17.5248,44.408210,ON-AIR,18-Apr-17,24-Feb-15,Huawei,2G/LTE,Shelter
CWN104,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Muzdalifah,21.376627,39.919002,ON-AIR,15-Jun-20,15-Aug-16,Nokia,2G/LTE/5G,Shelter
CWN106,Normal,EBU,WEST,JEDDAH,JEDDAH,Metropolitan,Tekfen Saudi Aramco pipeline project camp,22.74421,39.233240,ON-AIR,16-Sep-17,7-Aug-16,Nokia,2G/LTE,Shelter
CWH034,Normal,EBU,SOUTH,Asir,Asir,Remote,Military Compound,17.54944,43.590520,ON-AIR,27-Oct-20,24-Sep-16,Huawei,2G/LTE,Shelter
CWN108,Normal,NON EBU,WEST,MAKKAH,Mashaer,Metropolitan,Arafat General Hospital  Area,21.34916,39.983670,ON-AIR,12-Jun-19,10-Aug-16,Nokia,2G/LTE/5G,Shelter
CWN037,Normal,EBU,SOUTH,Najran,Najran,Remote,Military Camp NAJRAN,17.53707,44.437480,ON-AIR,13-Apr-15,11-Aug-14,Huawei,2G/LTE,Shelter
CWN900,Normal,EBU,SOUTH,JIZAN,JIZAN,Remote,Military Camp near ZJZ206 ALMDMDAMAH,17.07355,43.004460,ON-AIR,10-Oct-19,1-Apr-13,Huawei,2G/LTE,Shelter
COW529,VIP,NON EBU,Central,Riyadh District,Thumama,Remote,Prince Khalid Bin Salman Camp Thumama,25.3349,46.458,ON-AIR,9-Nov-20,27-Nov-19,Ericsson,2G/LTE,Outdoor
CWN902,Normal,EBU,SOUTH,Asir,Dahran Aljanob,Remote,Military CAMP Najran Border,17.565023,43.630664,ON-AIR,8-Jan-21,8-Jan-21,Huawei,2G/LTE/5G,Outdoor
