cows_id,site_label,current_locationlat,current_location_lng,ebu_royal,shelter_outdoor,tower_type,tower_sytem,tower_hieght,2g_4g_lte_5g,vehicle_make,top_events,moved_date_time,moved_month_year,reached_date_time,reached_month_year,from_location,from_sub_location,from_latitude,from_longitude,to_location,to_sub_location,to_latitude,to_longitude,distance,movement_type,region_from,region_to,vendor,goverment,remarks
COW774,VIP,,,NON EBU,,,,,,,Other,15 Oct 2024,Oct-24,15 Oct 2024,Oct-24,Jillah Farm,Other,24.692780,45.612640,Jilla farm,,24.719853,45.541942,3.0,Full,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW774,VIP,,,EBU,,,,,,,Other,29 Apr 2025,Apr-25,29 Apr 2025,Apr-25,Jillah Farm,Other,24.719853,45.541942,Jillah Farm,,24.653392,45.591913,10.0,Full,Central,Central,Huawei,Ar Riyad,ON-AIR
COW775,VIP,,,NON EBU,,,,,,,MDLBEAST Festival,6 Dec 2023,Dec-23,6 Dec 2023,Dec-23,ACES Muzahmiya WH,Event,24.51704,46.26763,MDL Beast,MDL Beast,24.99514,46.50837,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW775,VIP,,,NON EBU,,,,,,,Saudi Camel Festival,30 Jul 2025,Jul-25,30 Jul 2025,Jul-25,stc Jeddah WH,Event,21.458816,39.211939,Saudi Camel Festivals,Saudi Camel Festivals,21.58367,40.71507,200.0,Half,West,West,Ericsson,Ar Riyad,OFF-AIR
COW775,Normal,,,EBU,,,,,,,WH,20 Dec 2022,Dec-22,20 Dec 2022,Dec-22,MDL Beast 2022,WH,24.997425,46.503554,ACES Muzahmiya WH,,24.51704,46.26763,80.0,Half,Central,Central,Ericsson,Tabuk,ON-AIR
COW775,Normal,,,NON EBU,,,,,,,WH,30 Jun 2022,Jun-22,30 Jun 2022,Jun-22,NATIONAL GUARD KHASHMUL AAN,WH,24.623550,46.930610,ACES Muzahmiya WH,,24.51704,46.26763,120.0,Half,Central,Central,Ericsson,Asir,ON-AIR
COW775,Normal,,,NON EBU,,,,,,,MDLBEAST Festival,27 Nov 2022,Nov-22,27 Nov 2022,Nov-22,ACES Muzahmiya WH,Event,24.517040,46.267630,MDL Beast,MDL Beast,24.993846,46.496431,100.0,Half,Central,Central,Ericsson,Ar Riyad,ON-AIR
COW775,Normal,,,EBU,,,,,,,WH,28 Jul 2025,Jul-25,29 Jul 2025,Jul-25,ACES  Muzahmiya WH,WH,24.517040,46.267630,stc Jeddah WH,,21.631547,39.10799,950.0,Zero,Central,West,Ericsson,Ar Riyad,ON-AIR
COW775,Normal,,,NON EBU,,,,,,,WH,27 Dec 2023,Dec-23,27 Dec 2023,Dec-23,MDL Beast 2023,WH,24.995140,46.508370,ACES Muzahmiya WH,,24.51704,46.26763,110.0,Half,Central,Central,Ericsson,Al Hudud ash Shamaliyah,ON-AIR
COW777,VIP,,,NON EBU,,,,,,,MDLBEAST Festival,1 Dec 2021,Dec-21,1 Dec 2021,Dec-21,Riyadh Season Opening ceremony,Event,24.780977,46.601196,MDL Beast,MDL Beast,24.995308,46.509971,40.0,Full,Central,Central,Ericsson,Ar Riyad,ON-AIR
